cell_type,gene,mean_expr,pct_pos
SmoothMuscle,ACTA2,1.8780330419540405,0.7597765363128491
SmoothMuscle,TAGLN,2.3276538848876953,0.8365921787709497
T_NK,EPCAM,0.03160165250301361,0.02032659943172948
T_NK,KRT5,0.2571321427822113,0.1585849439535392
T_NK,KRT8,0.05422913655638695,0.03475192806069879
T_NK,KRT17,0.08352123200893402,0.05123801792237799
T_NK,CD3D,1.9095499515533447,0.776032722390483
T_NK,CD2,2.0301222801208496,0.8272707403128611
T_NK,NKG7,1.5357118844985962,0.5554688231804416
T_NK,MS4A1,0.07941851019859314,0.05117557061229588
T_NK,CD79A,0.013036117888987064,0.008898741686701845
T_NK,MZB1,0.11265121400356293,0.08180597620757486
T_NK,JCHAIN,0.13339604437351227,0.07318824741624255
T_NK,LYZ,0.09249893575906754,0.055609329628126265
T_NK,CD68,0.02799534797668457,0.018983982264963936
T_NK,AIF1,0.10749325156211853,0.06944140881131546
T_NK,TPSAB1,0.008986573666334152,0.0057139288725138165
T_NK,CPA3,0.006329043302685022,0.004027851500296625
T_NK,PECAM1,0.11412439495325089,0.07880850532363319
T_NK,VWF,0.005765355192124844,0.003965404190214506
T_NK,COL1A1,0.07760860025882721,0.048989914759421736
T_NK,DCN,0.07840435206890106,0.04939582227495551
T_NK,ACTA2,0.05328463762998581,0.038561213975708
T_NK,TAGLN,0.023181840777397156,0.01567427483061167
