sample,sub,n,LONP1,CLPP,HSPD1,HSPE1,HSPA9,TRAP1,DNAJA3,PHB2,PMPCB,AFG3L2,YME1L1,SPG7,ATF4,ATF5,DDIT3,TFAM,NRF1,PPARGC1A,POLRMT,FIS1,MFF,DNM1L,MIEF1,MIEF2,MFN1,MFN2,OPA1,PINK1,PRKN,THOP1,TIMM13,NDUFA11,SHMT2,MTHFD2,fission,fusion,proteostasis
GSM6360685_HSIL_2,7,437,0.15833102,0.27317128,0.77579314,1.049387,0.46768045,0.21935171,0.13271546,0.56564826,0.25033757,0.35861036,0.4634948,0.2989382,0.31301174,0.08128243,0.13348547,0.511428,0.045137312,0.11104895,0.11131256,0.9464189,0.21708627,0.20067064,0.0924983,0.057944804,0.17853947,0.106430754,0.22785959,0.17304401,0.023332626,0.06843755,0.63963383,1.1353667,0.09834001,0.1081627,0.5817526,0.17094328,0.5570767
GSM6360685_HSIL_2,8,147,0.14053321,0.44117022,0.83947444,1.347343,0.5435978,0.25424492,0.17601308,0.5802586,0.2254054,0.38882726,0.55802387,0.3421724,0.38637137,0.24666741,0.18613507,0.4693287,0.06888049,0.1333556,0.12643303,1.0234989,0.26708448,0.2777151,0.07198514,0.070751145,0.22198756,0.1186187,0.22321369,0.24412715,0.020682253,0.035748456,0.6461212,1.2556489,0.1533643,0.23773894,0.64529175,0.18793997,0.68516606
GSM6360685_HSIL_2,17,56,0.3274834,0.28863993,0.80843383,0.9635367,0.30328757,0.27235237,0.124911614,0.32794234,0.26945388,0.23520009,0.42382756,0.42459092,0.22609794,0.1522498,0.11685916,0.24157548,0.23789231,0.039358072,0.06391772,1.1387564,0.18732214,0.23232879,0.08003443,0.07515811,0.23580757,0.09364068,0.19286586,0.03904209,0.011968092,0.114908054,0.6061369,1.1104599,0.085842155,0.0,0.66303927,0.1741047,0.52725005
GSM6360685_HSIL_2,23,336,0.24798615,0.46269938,1.0155615,1.4111946,0.69005966,0.2899689,0.17961875,0.6365694,0.3906943,0.5398495,0.7038604,0.48208347,0.46209517,0.20312592,0.14292489,0.73823273,0.07653403,0.016395316,0.10845135,0.8681289,0.34388247,0.3622117,0.13253932,0.028960833,0.26348555,0.19545576,0.3643286,0.1578529,0.008676264,0.15035538,0.8045717,1.4447829,0.3004118,0.232101,0.60600567,0.2744233,0.7738968
GSM6360686_SCC_4,12,648,0.10921113,0.24488081,0.8451329,1.1170754,0.33288243,0.13587475,0.11992871,0.24947251,0.16858508,0.18795343,0.4627835,0.19495918,0.26814792,0.17902866,0.06109718,0.16957453,0.031603277,0.0,0.037811972,0.5252496,0.17545658,0.18036425,0.06808539,0.043243863,0.18864672,0.17540848,0.1777182,0.22296663,0.0023171336,0.08843695,0.5399507,0.89389414,0.09117553,0.21877432,0.35035306,0.18059114,0.53516924
GSM6360687_SCC_5,9,125,0.1730193,0.2883933,1.2489995,1.3860897,0.8017588,0.2380075,0.14945887,0.44347513,0.33075494,0.417996,0.8160731,0.34299165,0.8323295,0.20366101,0.28192273,0.50604737,0.07240196,0.041075017,0.08426114,0.8647267,0.2684828,0.41496402,0.110846035,0.07499576,0.22689618,0.16558793,0.31607455,0.28607556,0.014325848,0.057600237,0.6109972,0.95200884,0.08351556,0.22484729,0.5666048,0.23618622,0.7926498
GSM6360687_SCC_5,10,60,0.08250959,0.05560344,0.44551432,0.2958884,0.25676602,0.053532697,0.0,0.04824867,0.026282758,0.11620342,0.1860843,0.38323033,0.3204036,0.041895263,0.060097955,0.037232246,0.0,0.0,0.0,0.021956814,0.041486163,0.14151599,0.06410691,0.0,0.3500656,0.23169152,0.13871017,0.0,0.0,0.09273162,0.058630757,0.05759867,0.0,0.07045733,0.031721488,0.24015576,0.22146098
GSM6360687_SCC_5,16,238,0.12678942,0.22471334,1.247817,1.4070966,0.83536667,0.2321844,0.2517447,0.36846724,0.26900184,0.45816785,0.9176462,0.45416975,1.1011096,0.4087555,0.26802364,0.5216917,0.04020493,0.0,0.10427435,0.41144124,0.36671075,0.37528795,0.16811623,0.042558853,0.9377704,0.3626276,0.39618087,0.17305799,0.0018053863,0.03203642,0.52780926,0.7939733,0.14229466,0.47717103,0.389076,0.5655263,0.7894356
GSM6360687_SCC_5,19,1815,0.13186674,0.24458499,1.3036652,1.5016112,0.7681923,0.24256729,0.24932027,0.45707235,0.25833333,0.4069466,0.8119091,0.4608321,0.87141716,0.33642372,0.27662027,0.5127776,0.060134884,0.0017060948,0.06679013,0.34853542,0.32549176,0.35524163,0.18053591,0.043094393,0.83519113,0.4453778,0.38958043,0.15220855,0.0005012548,0.08661651,0.5560799,0.8774092,0.22863013,0.35536015,0.3370136,0.55671644,0.8121242
GSM6360687_SCC_5,20,116,0.10301119,0.39102957,1.6532232,1.763315,0.9279846,0.31223357,0.28783327,0.5646119,0.35179746,0.4846968,1.0171669,0.53119797,0.91784644,0.24697754,0.3969031,0.65144473,0.08332732,0.0037636166,0.071344264,0.46512228,0.34191057,0.41219398,0.18203662,0.056681234,0.7482974,0.42346585,0.3658572,0.14944392,0.0,0.086427614,0.6137141,0.8871259,0.2007435,0.44232896,0.4035164,0.51254016,1.0095571
GSM6360687_SCC_5,22,658,0.07957442,0.055988926,0.40770468,0.5526539,0.4313336,0.032637935,0.07394648,0.11137863,0.13399251,0.12299748,0.79719865,0.32044134,0.793725,0.15629691,0.2937034,0.09777676,0.05130648,0.0,0.024575071,0.13676406,0.13908209,0.14641973,0.06315673,0.14769189,0.75036436,0.23725316,0.24720998,0.3039739,0.0,0.04235258,0.13966823,0.4719953,0.052919433,0.2371408,0.13792308,0.41160917,0.2960638
