"gene","spearman_rho","p"
"LAS1L",0.338602677722908,2.55331001202415e-09
"GTPBP3",0.338248985022366,2.65874283102778e-09
"SAP30",0.337820681578584,2.79207079153514e-09
"REXO4",0.337813126060281,2.79447995061922e-09
"NDUFS4",0.33777440402898,2.80685853278509e-09
"PTOV1",0.337720570961074,2.82415607535905e-09
"TUSC2",0.337704987704574,2.8291825018197e-09
"MRPS23",0.337592127149929,2.86584557016842e-09
"B3GAT3",0.337489655432949,2.89953214136389e-09
"SSBP4",0.337423426592827,2.92150795507695e-09
"ZFAS1",0.337176101423389,3.00500969427689e-09
"RPL26",0.336940935916219,3.08654739264827e-09
"UQCRQ",0.336860068259386,3.11507824859515e-09
"TIMM29",0.336668465037429,3.18370101526857e-09
"PUF60",0.336574965498434,3.21771728664286e-09
"TUBGCP2",0.33642007737323,3.27484349643493e-09
"SNF8",0.336330709758306,3.30824987879146e-09
"L3MBTL2",0.335851996840849,3.4928927420745e-09
"RPL12",0.335656970024662,3.57094338465269e-09
"DPCD",0.335568192684605,3.60702941511503e-09
"QARS1",0.335545053909804,3.61649268083078e-09
"NDUFB9",0.335282499648786,3.72557019827815e-09
"NLE1",0.335118639345598,3.79525297558933e-09
"COX7C",0.334895751555669,3.89206659614383e-09
"RABEPK",0.334848057346384,3.91309150863069e-09
"QPCTL",0.334793397893663,3.93732214188856e-09
"AURKAIP1",0.334758807786434,3.95273099175171e-09
"PYCR1",0.334476420289872,4.08072918783986e-09
"RPS2",0.334293671190927,4.16569343354877e-09
"MRPL45",0.334116588730708,4.24965568764342e-09
"ABHD14A",0.333792645883482,4.40751017930445e-09
"HINT1",0.333778951506559,4.41430688339522e-09
"HACL1",0.333391731193548,4.61074476176073e-09
"COX7A2",0.333339432840296,4.63791599202847e-09
"HAGHL",0.333267537361448,4.67552190987569e-09
"SLC25A6",0.333198593256936,4.71186122541486e-09
"YIPF2",0.332625318305722,5.02480066400708e-09
"CHCHD6",0.332616346127738,5.0298548120426e-09
"TPRN",0.332316486495101,5.20162901090336e-09
"NSUN5",0.332181903825335,5.28055791667937e-09
"NDUFAF2",0.332097848684218,5.33044062407028e-09
"CKS2",0.332095959804643,5.33156680682529e-09
"RNASEH2C",0.331749822622402,5.54187450286057e-09
"MYL6B",0.331622323251045,5.62134658216535e-09
"RPLP0",0.331519379314171,5.68631664456371e-09
"PRPF6",0.331446185230615,5.73295237167438e-09
"TSFM",0.33132388027809,5.81170637082733e-09
"TSR3",0.331117520184449,5.94696415782771e-09
"EIF4A1",0.330519689798752,6.35622926047271e-09
"DDX56",0.330233052323145,6.5619967194148e-09
"TRABD",0.330006858993959,6.72890887097538e-09
"COPS9",0.329826943214377,6.86459797899054e-09
"CDCA5",0.329652694073522,6.99853479209094e-09
"AIMP2",0.32959933322551,7.04005391455978e-09
"ACSF3",0.329388250932929,7.20664139332862e-09
"MRPL28",0.329309390210646,7.26985208052815e-09
"HSPD1",0.328996426475953,7.52603720968458e-09
"ZNF358",0.32885889243185,7.64136187259562e-09
"ZNRD2",0.328806003803731,7.68616342904437e-09
"GPI",0.328765392892854,7.72073697999445e-09
"ASMTL",0.328273811983288,8.1513549104124e-09
"LRPAP1",0.327596176435519,8.78321521306205e-09
"TOMM5",0.327429010593073,8.94622719446365e-09
"MIIP",0.327081928971045,9.29408072068138e-09
"RPL38",0.326845464859166,9.53852396111136e-09
"MRPS17",0.326743347307107,9.64599898307737e-09
"NUDT16L1",0.326617264595432,9.78031267059448e-09
"CHLSN",0.326382099088261,1.00356784211444e-08
"NUBP2",0.326344321496748,1.00772975123574e-08
"COPRS",0.32615637797897,1.02868453717166e-08
"SAC3D1",0.325453714776823,1.1108240384592e-08
"WRAP53",0.325293632232786,1.13040545957706e-08
"PWWP3A",0.325090931843322,1.1556791326818e-08
"SLC25A1",0.324912550778395,1.17837173450125e-08
"PIAS4",0.324869578768049,1.18390242851141e-08
"COXFA4",0.324635829920561,1.2144292510839e-08
"HSF1",0.324084277084467,1.2895062994155e-08
"ATF4",0.323848639357403,1.32293142584682e-08
"SLC4A2",0.323770841129881,1.33414981586965e-08
"FIBP",0.323598716978548,1.35929755579111e-08
"NFKBIL1",0.323570501839887,1.36346331757497e-08
"RPS29",0.323425058112561,1.38513352067902e-08
"EMC6",0.323368391725291,1.39366624514676e-08
"WDR4",0.323252579796308,1.41126328491455e-08
"RPUSD1",0.323152587233771,1.42662921888498e-08
"RANBP1",0.323133226218121,1.42962306726449e-08
"MAZ",0.32290042181042,1.46610110007747e-08
"SMIM20",0.322831005486015,1.47715089276845e-08
"WDR83",0.322635978669827,1.50862793583836e-08
"STAP2",0.322527368094227,1.5264374938169e-08
"DYNC2I2",0.322444729612791,1.54012416526125e-08
"RPL10A",0.322438118534277,1.54122420709296e-08
"TIMM50",0.322306369183874,1.56330545585848e-08
"CDC25A",0.322202953027107,1.580851885753e-08
"FAAP100",0.321918204431075,1.63015359365691e-08
"PELP1",0.321909232253091,1.63173094118981e-08
"GTPBP6",0.32179247588432,1.65239214905903e-08
"NDUFV3",0.321732149792873,1.66316626318658e-08
"RPL31",0.321728372033721,1.66384321657973e-08
"HEXIM2",0.321491671811896,1.70679361202408e-08
"HAUS8",0.321403484746707,1.72306785977164e-08
"SLC25A10",0.320672960570819,1.86376891371875e-08
"TOMM7",0.320663043953047,1.86575319684112e-08
"EPB41L4A-AS1",0.320335795566564,1.93239150451236e-08
"ZNF511",0.3202786569594,1.94426010727941e-08
"TACO1",0.320278066684532,1.94438308349028e-08
"NDUFV1",0.320205462875843,1.95956658936338e-08
"NDUFB10",0.320155407567088,1.97010119384239e-08
"WDR46",0.320150685368149,1.97109784335166e-08
"OXSM",0.320140768750376,1.97319239270697e-08
"UBE2S",0.320107241137908,1.98028989723816e-08
"RBM10",0.320071824645865,1.98781404053167e-08
"SOX12",0.320011026334523,2.00079491851607e-08
"HIGD2A",0.319942436394932,2.01553765309047e-08
"WDR74",0.319800298206863,2.04642359038038e-08
"VGF",0.319494535825553,2.11442122775044e-08
"EEF1A1P9",0.319303995098357,2.15789313220521e-08
"SHMT2",0.319091968365989,2.20728170214706e-08
"SMARCA4",0.318913941465983,2.24959194899509e-08
"TIMM17B",0.31863013730974,2.31866547738061e-08
"SPCS1",0.318469110325914,2.35876292581805e-08
"NDUFA9",0.318316111080286,2.39748115923786e-08
"UQCC3",0.317768808223237,2.54106947915453e-08
"SLC25A4",0.317418421061952,2.63731753626796e-08
"EMC9",0.317272977334626,2.67829488542317e-08
"DNPH1",0.317245116360885,2.68621428002569e-08
"GGA1",0.31721678316725,2.69429108306051e-08
"ILKAP",0.317201672130644,2.69860829200364e-08
"EEF1G",0.316834757273072,2.80550894632778e-08
"DRG1",0.316810201838588,2.81280727339241e-08
"FBXL15",0.316667591430626,2.8555573779892e-08
"INTS15",0.316601008425583,2.87573097603416e-08
"MRPS5",0.316250975429218,2.9840685991561e-08
"PICK1",0.315974844846251,3.07230207001205e-08
"UFSP2",0.315854428773303,3.11156285996878e-08
"TKT",0.315747234857384,3.14691967565447e-08
"PTDSS2",0.315597068931118,3.19710306877446e-08
"H2AZ1",0.315593763391861,3.19821637556724e-08
"KISS1R",0.315364736743312,3.27627033444969e-08
"BORCS8",0.315238299866716,3.32014519977971e-08
"SURF1",0.315134293435081,3.35666099847433e-08
"FIS1",0.314996405226058,3.40567031882245e-08
"RPS12",0.31498223862924,3.41074445993423e-08
"ECE2",0.314876461373003,3.44886264334758e-08
"SNRNP25",0.314757816124657,3.49210710067327e-08
"ATP5PF",0.314613907111986,3.54526227493877e-08
"CDK5",0.314429387188438,3.61456089492845e-08
"HPF1",0.314395741520997,3.62733701590211e-08
"AP1S1",0.314285714285714,3.66942210743844e-08
"TBCD",0.314167187092341,3.71528543576775e-08
"PSMA7",0.313710078235031,3.8973951591874e-08
"EDF1",0.313634995271898,3.92811962237231e-08
"PEBP1",0.313532523554919,3.97042903911406e-08
"DDTL",0.313446107314332,4.00645071387144e-08
"ENTR1",0.313257219356766,4.08628755611553e-08
"H2AC20",0.312876137902376,4.25205560778645e-08
"LRRC61",0.312781221703699,4.29434177733378e-08
"POLR1E",0.312705548465699,4.32834532508103e-08
"AP1M2",0.312700472101839,4.33063564542986e-08
"TRMT2A",0.312481362071062,4.43061404726384e-08
"ATOX1",0.312359057118538,4.48738525778847e-08
"NT5C3B",0.31203133651216,4.64298582484195e-08
"TMEM97",0.311875503947168,4.71878758689052e-08
"ZC3HC1",0.311575644314532,4.86801996309929e-08
"PAXX",0.310996702724591,5.16912207277002e-08
"SMIM7",0.31098005697333,5.17803960023651e-08
"SNHG8",0.3109338974787,5.20284601454723e-08
"MRPL23",0.310862592274719,5.24139125731485e-08
"RFNG",0.310740287322194,5.3081473059905e-08
"GARIN5A",0.310628371207336,5.36995064888565e-08
"CHID1",0.310469705322981,5.45876086924293e-08
"U2AF1",0.310457899825633,5.46542507386867e-08
"PSPN",0.31042354582835,5.48486256301078e-08
"MPG",0.310402177878151,5.49698614802311e-08
"POLR2L",0.310240324509511,5.58965997463049e-08
"TARBP2",0.310118963996775,5.66013469192796e-08
"KHSRP",0.310019679764079,5.7184258885303e-08
"SOD1",0.309831264026406,5.83064263231895e-08
"C19ORF44",0.309543209891118,6.00631573206547e-08
"CCDC22",0.309282072289782,6.16997402868257e-08
"RPS6KB2",0.309120573086063,6.27332980429062e-08
"EIF3CL",0.30898032377757,6.36443824110646e-08
"CHERP",0.308971233544612,6.37038721942033e-08
"RPS19BP1",0.308854241065895,6.44743132357559e-08
"MRPS15",0.308796158018943,6.4860141018313e-08
"PXMP2",0.308764047066157,6.50743983573583e-08
"BRI3",0.308703130699842,6.54827330823695e-08
"DDRGK1",0.308522860755339,6.6705637317178e-08
"THAP4",0.308282854994257,6.83679734349223e-08
"DHX37",0.308245077402743,6.86332397755445e-08
"RPL35",0.308088890672831,6.97405154550766e-08
"ZNG1A",0.307975439843317,7.05555903256152e-08
"COX8A",0.307675580210681,7.27543357174152e-08
"RPS6",0.307636267904512,7.30474459846572e-08
"MCOLN1",0.307539108661339,7.37767489603787e-08
"DALRD3",0.307482442274069,7.42053357070944e-08
"FEM1A",0.307338415206425,7.53054852207507e-08
"SLIRP",0.307294026536397,7.56477040626558e-08
"PSMD6",0.307011520984862,7.78610822132403e-08
"BNIP3",0.306799612307467,7.95621656986808e-08
"TMA7",0.306656883844531,8.07280283363437e-08
"SCAND1",0.306531863627617,8.17627499959631e-08
"C15ORF61",0.306488419397377,8.21252954985555e-08
"POLR2I",0.30643694742894,8.25568375749687e-08
"SMARCB1",0.306333531272172,8.34304938395252e-08
"EIF3I",0.306281114863948,8.38767001594845e-08
"C1ORF122",0.306138032236091,8.51064561414353e-08
"MRPL22",0.306132365597364,8.51555151502114e-08
"CCT4",0.3060752269902,8.56517180808187e-08
"CDT1",0.306037803563607,8.59782186745423e-08
"ARIH2",0.306037331343713,8.59823462050963e-08
"TRIR",0.305749513318372,8.85339081284594e-08
"TLE5",0.305742784184884,8.85944270572303e-08
"NME1-NME2",0.305137870500777,9.42006329057183e-08
"RASSF1",0.305080731893614,9.47474983055253e-08
"MRPL1",0.304993371213239,9.55895299599739e-08
"PSMB7",0.3047558446066,9.79155397480375e-08
"TUBG1",0.304402151906057,1.01480405428965e-07
"SDHAF4",0.304256590123757,1.0298353725423e-07
"NABP2",0.303798654881632,1.07853472971839e-07
"XRCC6",0.303786849384284,1.07981905151568e-07
"RPL21",0.303770321687997,1.08161957602255e-07
"CHCHD3",0.303733016316378,1.08569424857381e-07
"RPL13",0.303702322023273,1.0890579056902e-07
