lib,term,p,padj,n_overlap,genes
GO_Biological_Process_2023,Protein Stabilization (GO:0050821),0.021913332773045056,0.22414133274373704,4,PHB1;CDC37;PIN1;STUB1
GO_Biological_Process_2023,"mRNA Splicing, Via Spliceosome (GO:0000398)",0.022950623528119767,0.22414133274373704,4,SF3B5;XAB2;PIN1;LSM4
GO_Biological_Process_2023,Regulation Of Protein Catabolic Process (GO:0042176),0.024563954645225376,0.22414133274373704,3,PHB1;NDUFA13;PIN1
GO_Biological_Process_2023,Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242),0.024949348712210842,0.22414133274373704,2,NDUFA13;RACK1
GO_Biological_Process_2023,Negative Regulation Of ERK1 And ERK2 Cascade (GO:0070373),0.024949348712210842,0.22414133274373704,2,PHB1;PIN1
GO_Biological_Process_2023,"CD4-positive, Alpha-Beta T Cell Activation (GO:0035710)",0.02524355128901587,0.22414133274373704,1,STOML2
GO_Biological_Process_2023,"Establishment Of Mitochondrion Localization, Microtubule-Mediated (GO:0034643)",0.02524355128901587,0.22414133274373704,1,MAP1S
GO_Biological_Process_2023,Negative Regulation Of Glucocorticoid Receptor Signaling Pathway (GO:2000323),0.02524355128901587,0.22414133274373704,1,PHB1
GO_Biological_Process_2023,Glyoxylate Metabolic Process (GO:0046487),0.02524355128901587,0.22414133274373704,1,GRHPR
GO_Biological_Process_2023,Guanine Nucleotide Transmembrane Transport (GO:1903790),0.02524355128901587,0.22414133274373704,1,SLC19A1
GO_Biological_Process_2023,Regulation Of Monoatomic Anion Transport (GO:0044070),0.02524355128901587,0.22414133274373704,1,RAB11B
GO_Biological_Process_2023,Neutrophil Degranulation (GO:0043312),0.02524355128901587,0.22414133274373704,1,STXBP2
GO_Biological_Process_2023,Presynaptic Active Zone Organization (GO:1990709),0.02524355128901587,0.22414133274373704,1,RAB3A
GO_Biological_Process_2023,Regulation Of Plasma Membrane Repair (GO:1905684),0.02524355128901587,0.22414133274373704,1,RAB3A
GO_Biological_Process_2023,Regulation Of Protein Depolymerization (GO:1901879),0.02524355128901587,0.22414133274373704,1,MAP1S
GO_Biological_Process_2023,snRNA Modification (GO:0040031),0.02524355128901587,0.22414133274373704,1,NHP2
GO_Biological_Process_2023,Negative Regulation Of Growth (GO:0045926),0.025616152313569947,0.22414133274373704,3,PHB1;NDUFA13;RACK1
GO_Biological_Process_2023,Regulation Of DNA Metabolic Process (GO:0051052),0.025616152313569947,0.22414133274373704,3,BABAM1;SF3B5;ALYREF
GO_Biological_Process_2023,Negative Regulation Of Cell Growth (GO:0030308),0.026151245270693374,0.22613135616423094,3,PHB1;NDUFA13;RACK1
GO_Biological_Process_2023,Dicarboxylic Acid Metabolic Process (GO:0043648),0.02691772640191098,0.22671140820089972,2,MDH2;SLC19A1
GO_Biological_Process_2023,Regulated Exocytosis (GO:0045055),0.02792475803092072,0.22671140820089972,2,RAB3A;RAB11B
GO_Biological_Process_2023,Regulation Of DNA Repair (GO:0006282),0.02835149858173841,0.22671140820089972,3,BABAM1;SF3B5;TMEM161A
GO_Biological_Process_2023,Positive Regulation Of Gastrulation (GO:2000543),0.03021603513748301,0.22671140820089972,1,RACK1
GO_Biological_Process_2023,Regulation Of Cellular Response To Hypoxia (GO:1900037),0.03021603513748301,0.22671140820089972,1,CHCHD2
GO_Biological_Process_2023,Positive Regulation Of Humoral Immune Response (GO:0002922),0.03021603513748301,0.22671140820089972,1,PHB1
GO_Biological_Process_2023,Positive Regulation Of Membrane Depolarization (GO:1904181),0.03021603513748301,0.22671140820089972,1,RACK1
GO_Biological_Process_2023,Regulation Of Glucocorticoid Receptor Signaling Pathway (GO:2000322),0.03021603513748301,0.22671140820089972,1,PHB1
GO_Biological_Process_2023,RIG-I Signaling Pathway (GO:0039529),0.03021603513748301,0.22671140820089972,1,PHB1
