sample_id,group,source,LONP1_log2TPM
TCGA-EK-A3GM-01,Tumor,TCGA,5.676
TCGA-VS-A8EK-01,Tumor,TCGA,6.157
TCGA-C5-A1BE-01,Tumor,TCGA,6.256
TCGA-EK-A2GZ-01,Tumor,TCGA,4.565
TCGA-FU-A3HZ-01,Tumor,TCGA,6.563
TCGA-HM-A3JK-01,Tumor,TCGA,5.963
TCGA-IR-A3LF-01,Tumor,TCGA,5.847
TCGA-Q1-A5R2-01,Tumor,TCGA,5.875
TCGA-VS-A957-01,Tumor,TCGA,5.714
TCGA-ZJ-AAXA-01,Tumor,TCGA,5.441
TCGA-ZX-AA5X-01,Tumor,TCGA,5.668
TCGA-JX-A3Q0-01,Tumor,TCGA,6.316
TCGA-LP-A4AV-01,Tumor,TCGA,6.071
TCGA-VS-A953-01,Tumor,TCGA,6.087
TCGA-VS-A9V4-01,Tumor,TCGA,5.31
TCGA-EX-A69M-01,Tumor,TCGA,5.57
TCGA-MY-A5BD-01,Tumor,TCGA,5.656
TCGA-VS-A9V3-01,Tumor,TCGA,5.164
TCGA-ZJ-AAXF-01,Tumor,TCGA,5.639
TCGA-C5-A1MJ-01,Tumor,TCGA,6.283
TCGA-DR-A0ZM-01,Tumor,TCGA,5.086
TCGA-VS-A9UZ-01,Tumor,TCGA,6.617
TCGA-EA-A3HQ-01,Tumor,TCGA,5.603
TCGA-FU-A23L-01,Tumor,TCGA,4.68
TCGA-IR-A3LA-01,Tumor,TCGA,5.816
TCGA-IR-A3LL-01,Tumor,TCGA,6.197
TCGA-MU-A5YI-01,Tumor,TCGA,5.265
TCGA-VS-A8EJ-01,Tumor,TCGA,6.101
TCGA-EA-A3QD-01,Tumor,TCGA,6.048
TCGA-EA-A5FO-01,Tumor,TCGA,5.976
TCGA-EK-A2RO-01,Tumor,TCGA,6.095
TCGA-C5-A7CK-01,Tumor,TCGA,5.803
TCGA-EK-A2R9-01,Tumor,TCGA,5.47
TCGA-EX-A1H5-01,Tumor,TCGA,6.135
TCGA-VS-A9V0-01,Tumor,TCGA,5.749
TCGA-ZJ-AAX8-01,Tumor,TCGA,5.421
TCGA-EA-A3HR-01,Tumor,TCGA,4.816
TCGA-VS-A9U5-01,Tumor,TCGA,5.581
TCGA-WL-A834-01,Tumor,TCGA,6.335
TCGA-C5-A2M2-01,Tumor,TCGA,5.836
TCGA-C5-A8YR-01,Tumor,TCGA,6.347
TCGA-EA-A5ZF-01,Tumor,TCGA,5.413
TCGA-JW-A5VJ-01,Tumor,TCGA,5.764
TCGA-Q1-A5R3-01,Tumor,TCGA,5.557
TCGA-VS-A8EH-01,Tumor,TCGA,5.575
TCGA-C5-A1M6-01,Tumor,TCGA,6.281
TCGA-C5-A7CG-01,Tumor,TCGA,5.757
TCGA-C5-A7UH-01,Tumor,TCGA,5.965
TCGA-FU-A3EO-01,Tumor,TCGA,5.847
TCGA-FU-A3TQ-01,Tumor,TCGA,5.129
TCGA-Q1-A6DT-01,Tumor,TCGA,5.713
TCGA-VS-A8EC-01,Tumor,TCGA,6.412
TCGA-VS-A9UJ-01,Tumor,TCGA,6.316
TCGA-C5-A2LX-01,Tumor,TCGA,5.962
TCGA-EA-A5ZE-01,Tumor,TCGA,5.577
TCGA-EA-A78R-01,Tumor,TCGA,5.834
TCGA-MA-AA3W-01,Tumor,TCGA,5.284
TCGA-VS-A9UB-01,Tumor,TCGA,5.619
TCGA-ZJ-AAXT-01,Tumor,TCGA,6.432
TCGA-BI-A0VR-01,Tumor,TCGA,5.428
TCGA-C5-A1M5-01,Tumor,TCGA,5.597
TCGA-DG-A2KL-01,Tumor,TCGA,5.176
TCGA-DR-A0ZL-01,Tumor,TCGA,5.354
TCGA-IR-A3LB-01,Tumor,TCGA,5.805
TCGA-JW-A5VH-01,Tumor,TCGA,6.362
TCGA-LP-A7HU-01,Tumor,TCGA,6.676
TCGA-VS-A9UH-01,Tumor,TCGA,5.552
TCGA-VS-A9UR-01,Tumor,TCGA,6.21
TCGA-LP-A4AW-01,Tumor,TCGA,5.765
TCGA-VS-A9U6-01,Tumor,TCGA,5.158
TCGA-2W-A8YY-01,Tumor,TCGA,6.954
TCGA-C5-A3HD-01,Tumor,TCGA,5.543
TCGA-DG-A2KK-01,Tumor,TCGA,6.489
TCGA-DS-A0VM-01,Tumor,TCGA,4.575
TCGA-EA-A410-01,Tumor,TCGA,6.814
TCGA-EK-A2RJ-01,Tumor,TCGA,5.824
TCGA-EK-A3GJ-01,Tumor,TCGA,5.491
TCGA-HM-A4S6-01,Tumor,TCGA,5.003
TCGA-VS-A8QC-01,Tumor,TCGA,6.006
TCGA-VS-AA62-01,Tumor,TCGA,5.634
TCGA-ZJ-AAXU-01,Tumor,TCGA,5.752
TCGA-C5-A1MI-01,Tumor,TCGA,5.398
TCGA-DG-A2KJ-01,Tumor,TCGA,5.307
TCGA-EA-A411-01,Tumor,TCGA,5.045
TCGA-EA-A439-01,Tumor,TCGA,5.33
TCGA-MA-AA3X-01,Tumor,TCGA,4.958
TCGA-VS-A9V5-01,Tumor,TCGA,4.978
TCGA-BI-A20A-01,Tumor,TCGA,5.442
TCGA-C5-A1MF-01,Tumor,TCGA,4.712
TCGA-C5-A1ML-01,Tumor,TCGA,5.113
TCGA-DS-A1OD-01,Tumor,TCGA,4.996
TCGA-EA-A4BA-01,Tumor,TCGA,6.245
TCGA-EA-A6QX-01,Tumor,TCGA,5.315
TCGA-FU-A57G-01,Tumor,TCGA,5.451
TCGA-IR-A3LH-01,Tumor,TCGA,5.408
TCGA-BI-A0VS-01,Tumor,TCGA,5.389
TCGA-C5-A7CL-01,Tumor,TCGA,5.603
TCGA-C5-A7UC-01,Tumor,TCGA,5.831
TCGA-EK-A2IR-01,Tumor,TCGA,6.458
TCGA-EK-A2R8-01,Tumor,TCGA,5.573
TCGA-EK-A2RB-01,Tumor,TCGA,5.342
TCGA-IR-A3LI-01,Tumor,TCGA,6.086
TCGA-MA-AA3Y-01,Tumor,TCGA,5.731
TCGA-MA-AA43-01,Tumor,TCGA,5.587
TCGA-ZJ-AB0H-01,Tumor,TCGA,5.457
TCGA-C5-A907-01,Tumor,TCGA,5.958
TCGA-DS-A0VN-01,Tumor,TCGA,5.159
TCGA-DS-A1OC-01,Tumor,TCGA,5.637
TCGA-EA-A1QT-01,Tumor,TCGA,6.069
TCGA-EK-A3GN-01,Tumor,TCGA,4.713
TCGA-FU-A3HY-01,Tumor,TCGA,5.254
TCGA-VS-A8QM-01,Tumor,TCGA,5.052
TCGA-VS-A94Y-01,Tumor,TCGA,5.627
TCGA-C5-A1BF-01,Tumor,TCGA,5.233
TCGA-C5-A1M9-01,Tumor,TCGA,5.888
TCGA-DG-A2KM-01,Tumor,TCGA,4.561
TCGA-DS-A3LQ-01,Tumor,TCGA,5.979
TCGA-EA-A1QS-01,Tumor,TCGA,4.98
TCGA-JW-AAVH-01,Tumor,TCGA,5.315
TCGA-MU-A8JM-01,Tumor,TCGA,5.431
TCGA-Q1-A73Q-01,Tumor,TCGA,5.826
TCGA-VS-A958-01,Tumor,TCGA,5.357
TCGA-VS-A9V1-01,Tumor,TCGA,5.727
TCGA-C5-A7UE-01,Tumor,TCGA,5.995
TCGA-DS-A0VK-01,Tumor,TCGA,6.285
TCGA-DS-A1OB-01,Tumor,TCGA,6.028
TCGA-EA-A3QE-01,Tumor,TCGA,5.006
TCGA-EA-A50E-01,Tumor,TCGA,5.925
TCGA-EK-A2R7-01,Tumor,TCGA,5.41
TCGA-EK-A2RN-01,Tumor,TCGA,3.111
TCGA-FU-A3NI-01,Tumor,TCGA,5.384
TCGA-JW-A5VI-01,Tumor,TCGA,4.812
TCGA-LP-A4AX-01,Tumor,TCGA,5.678
TCGA-Q1-A73P-01,Tumor,TCGA,5.701
TCGA-Q1-A73R-01,Tumor,TCGA,6.42
TCGA-C5-A3HE-01,Tumor,TCGA,5.7
TCGA-C5-A901-01,Tumor,TCGA,5.53
TCGA-EK-A2PI-01,Tumor,TCGA,5.145
TCGA-EX-A8YF-01,Tumor,TCGA,5.769
TCGA-JW-A69B-01,Tumor,TCGA,5.005
TCGA-Q1-A6DW-01,Tumor,TCGA,5.451
TCGA-UC-A7PF-01,Tumor,TCGA,6.114
TCGA-UC-A7PG-01,Tumor,TCGA,4.782
TCGA-UC-A7PI-01,Tumor,TCGA,6.401
TCGA-VS-A8QA-01,Tumor,TCGA,6.663
TCGA-C5-A1M8-01,Tumor,TCGA,5.988
TCGA-C5-A7CH-01,Tumor,TCGA,5.827
TCGA-DS-A7WI-01,Tumor,TCGA,5.523
TCGA-EA-A3HU-01,Tumor,TCGA,6.187
TCGA-EA-A43B-01,Tumor,TCGA,5.866
TCGA-EK-A2PK-01,Tumor,TCGA,4.553
TCGA-FU-A3WB-01,Tumor,TCGA,6.183
TCGA-JW-A5VK-01,Tumor,TCGA,7.13
TCGA-MA-AA3Z-01,Tumor,TCGA,6.014
TCGA-PN-A8MA-01,Tumor,TCGA,5.532
TCGA-VS-A9UO-01,Tumor,TCGA,5.985
TCGA-VS-A9UP-01,Tumor,TCGA,5.562
TCGA-ZJ-AAXJ-01,Tumor,TCGA,4.239
TCGA-C5-A1MN-01,Tumor,TCGA,4.243
TCGA-C5-A7CJ-01,Tumor,TCGA,4.812
TCGA-C5-A7UI-01,Tumor,TCGA,6.315
TCGA-EX-A449-01,Tumor,TCGA,6.502
TCGA-JW-A852-01,Tumor,TCGA,7.318
TCGA-MY-A5BE-01,Tumor,TCGA,5.817
TCGA-R2-A69V-01,Tumor,TCGA,4.758
TCGA-VS-A8QF-01,Tumor,TCGA,5.618
TCGA-VS-A950-01,Tumor,TCGA,5.446
TCGA-VS-A9UU-01,Tumor,TCGA,5.831
TCGA-ZJ-AAXB-01,Tumor,TCGA,5.56
TCGA-C5-A8ZZ-01,Tumor,TCGA,5.781
TCGA-DS-A7WF-01,Tumor,TCGA,6.076
TCGA-EX-A69L-01,Tumor,TCGA,5.104
TCGA-VS-A8EB-01,Tumor,TCGA,4.672
TCGA-XS-A8TJ-01,Tumor,TCGA,5.193
TCGA-C5-A1ME-01,Tumor,TCGA,5.679
TCGA-EA-A3Y4-01,Tumor,TCGA,4.666
TCGA-EA-A5ZD-01,Tumor,TCGA,5.215
TCGA-EK-A2RM-01,Tumor,TCGA,5.614
TCGA-HM-A3JJ-01,Tumor,TCGA,5.263
TCGA-IR-A3LC-01,Tumor,TCGA,6.584
TCGA-JX-A3Q8-01,Tumor,TCGA,6.416
TCGA-LP-A5U3-01,Tumor,TCGA,5.701
TCGA-VS-A94X-01,Tumor,TCGA,5.209
TCGA-C5-A8XH-01,Tumor,TCGA,5.2
TCGA-EA-A5O9-01,Tumor,TCGA,5.655
TCGA-VS-A94W-01,Tumor,TCGA,5.793
TCGA-VS-A9UM-01,Tumor,TCGA,5.197
TCGA-C5-A2LT-01,Tumor,TCGA,4.873
TCGA-EA-A556-01,Tumor,TCGA,5.87
TCGA-EA-A97N-01,Tumor,TCGA,5.332
TCGA-EX-A1H6-01,Tumor,TCGA,5.434
TCGA-FU-A40J-01,Tumor,TCGA,5.809
TCGA-HG-A2PA-01,Tumor,TCGA,5.495
TCGA-VS-A8EI-01,Tumor,TCGA,4.878
TCGA-VS-A8EL-01,Tumor,TCGA,6.606
TCGA-VS-A94Z-01,Tumor,TCGA,5.513
TCGA-ZJ-A8QR-01,Tumor,TCGA,4.498
TCGA-C5-A1M7-01,Tumor,TCGA,5.426
TCGA-C5-A2LS-01,Tumor,TCGA,5.144
TCGA-C5-A2M1-01,Tumor,TCGA,5.863
TCGA-C5-A905-01,Tumor,TCGA,5.034
TCGA-IR-A3L7-01,Tumor,TCGA,5.558
TCGA-JW-A5VL-01,Tumor,TCGA,6.342
TCGA-JX-A5QV-01,Tumor,TCGA,4.663
TCGA-Q1-A73O-01,Tumor,TCGA,6.09
TCGA-C5-A1BK-01,Tumor,TCGA,6.211
TCGA-C5-A2LV-01,Tumor,TCGA,5.669
TCGA-C5-A8YT-01,Tumor,TCGA,5.687
TCGA-EK-A2PL-01,Tumor,TCGA,4.171
TCGA-Q1-A6DV-01,Tumor,TCGA,5.721
TCGA-VS-A8EG-01,Tumor,TCGA,5.434
TCGA-C5-A1MQ-01,Tumor,TCGA,5.96
TCGA-C5-A7CM-01,Tumor,TCGA,5.87
TCGA-C5-A7X8-01,Tumor,TCGA,5.754
TCGA-C5-A902-01,Tumor,TCGA,6.176
TCGA-EA-A3HS-01,Tumor,TCGA,5.072
TCGA-FU-A3YQ-01,Tumor,TCGA,4.521
TCGA-JW-A5VG-01,Tumor,TCGA,5.74
TCGA-LP-A4AU-01,Tumor,TCGA,6.563
TCGA-ZJ-AAXD-01,Tumor,TCGA,5.116
TCGA-C5-A1BJ-01,Tumor,TCGA,5.434
TCGA-C5-A1MP-01,Tumor,TCGA,4.966
TCGA-DS-A7WH-01,Tumor,TCGA,4.841
TCGA-HM-A6W2-01,Tumor,TCGA,6.452
TCGA-RA-A741-01,Tumor,TCGA,5.476
TCGA-ZJ-AAXN-01,Tumor,TCGA,4.895
TCGA-EK-A2RC-01,Tumor,TCGA,5.751
TCGA-EK-A3GK-01,Tumor,TCGA,5.933
TCGA-FU-A770-01,Tumor,TCGA,5.926
TCGA-MA-AA41-01,Tumor,TCGA,5.592
TCGA-Q1-A73S-01,Tumor,TCGA,4.979
TCGA-C5-A1BL-01,Tumor,TCGA,5.963
TCGA-EK-A2RL-01,Tumor,TCGA,5.609
TCGA-EX-A3L1-01,Tumor,TCGA,5.709
TCGA-FU-A5XV-01,Tumor,TCGA,5.021
TCGA-Q1-A5R1-01,Tumor,TCGA,6.083
TCGA-VS-A9UC-01,Tumor,TCGA,5.344
TCGA-VS-A9UQ-01,Tumor,TCGA,5.789
TCGA-4J-AA1J-01,Tumor,TCGA,5.801
TCGA-C5-A1BI-01,Tumor,TCGA,4.77
TCGA-EA-A44S-01,Tumor,TCGA,5.431
TCGA-C5-A2LY-01,Tumor,TCGA,5.849
TCGA-C5-A8XK-01,Tumor,TCGA,5.443
TCGA-LP-A5U2-01,Tumor,TCGA,7.295
TCGA-VS-A9U7-01,Tumor,TCGA,5.939
TCGA-FU-A2QG-01,Tumor,TCGA,5.501
TCGA-VS-A9UY-01,Tumor,TCGA,5.096
TCGA-VS-A9V2-01,Tumor,TCGA,5.611
TCGA-EK-A2IP-01,Tumor,TCGA,5.093
TCGA-FU-A23K-01,Tumor,TCGA,7.24
TCGA-MY-A913-01,Tumor,TCGA,5.471
TCGA-GH-A9DA-01,Tumor,TCGA,6.114
TCGA-MU-A51Y-01,Tumor,TCGA,5.767
TCGA-C5-A1BN-01,Tumor,TCGA,5.077
TCGA-C5-A7XC-01,Tumor,TCGA,4.668
TCGA-EK-A2RE-01,Tumor,TCGA,4.729
TCGA-VS-A8Q8-01,Tumor,TCGA,4.23
TCGA-DG-A2KH-01,Tumor,TCGA,5.773
TCGA-DS-A0VL-01,Tumor,TCGA,5.304
TCGA-JX-A3PZ-01,Tumor,TCGA,5.947
TCGA-ZJ-AB0I-01,Tumor,TCGA,4.387
TCGA-C5-A3HF-01,Tumor,TCGA,5.545
TCGA-EK-A2H0-01,Tumor,TCGA,5.953
TCGA-ZJ-A8QQ-01,Tumor,TCGA,6.147
TCGA-C5-A0TN-01,Tumor,TCGA,5.345
TCGA-UC-A7PD-01,Tumor,TCGA,6.51
TCGA-EK-A2H1-01,Tumor,TCGA,5.447
GTEX-S341-1326-SM-4AD72,Normal,GTEx,5.388
GTEX-T6MO-1426-SM-4DM73,Normal,GTEx,4.944
GTEX-S32W-1626-SM-4AD6G,Normal,GTEx,5.21
GTEX-TSE9-2726-SM-4DXSQ,Normal,GTEx,5.166
GTEX-S4UY-1426-SM-4AD6Y,Normal,GTEx,5.501
GTEX-S341-1126-SM-4AD6T,Normal,GTEx,5.236
GTEX-U3ZN-1626-SM-4DXTZ,Normal,GTEx,4.28
GTEX-TSE9-2826-SM-4DXTF,Normal,GTEx,5.406
GTEX-T5JW-0726-SM-4DM6D,Normal,GTEx,4.852
GTEX-S32W-1526-SM-4AD6Z,Normal,GTEx,5.361
TCGA-MY-A5BF-11,Normal,TCGA,5.272
TCGA-FU-A3EO-11,Normal,TCGA,5.285
TCGA-HM-A3JJ-11,Normal,TCGA,4.824
