sample,sub,n,LONP1,FIS1,MFF,DNM1L,MFN1,MFN2,OPA1,CLPP,HSPD1,HSPA9,fission,fusion
GSM6360686_SCC_4,9,647,0.10937987,0.5260608,0.1757276,0.18064283,0.18893817,0.17567953,0.17799206,0.24525914,0.8464372,0.3333968,0.3508942,0.18086992
GSM6360687_SCC_5,8,61,0.060352538,0.021596868,0.024988616,0.11795022,0.35147467,0.2535104,0.16561678,0.054691907,0.38720936,0.21549347,0.023292743,0.2568673
GSM6360687_SCC_5,11,1817,0.13423198,0.34840494,0.326201,0.35620505,0.8321818,0.44678095,0.38884547,0.24434349,1.305086,0.77068585,0.33730298,0.55593604
GSM6360687_SCC_5,12,643,0.0781963,0.13448972,0.1400592,0.14534165,0.7597952,0.23054217,0.24951068,0.057718743,0.40248743,0.42343774,0.13727446,0.41328266
GSM6360687_SCC_5,17,233,0.12026482,0.41202736,0.3618833,0.37915465,0.9396552,0.35861126,0.40261385,0.21880752,1.2352064,0.8294712,0.38695532,0.5669601
GSM6360687_SCC_5,20,132,0.09336726,0.4386524,0.31720448,0.3719173,0.73284453,0.43561593,0.3327707,0.35583183,1.5712944,0.9091185,0.37792844,0.5004104
GSM6360687_SCC_5,24,126,0.17164543,0.857863,0.26635143,0.41167066,0.22509502,0.16427353,0.31356534,0.2991057,1.239086,0.7953957,0.5621072,0.2343113
GSM6360688_ADC_6,0,215,0.13912646,0.8508834,0.34789872,0.3179593,0.1918356,0.21217215,0.3640058,0.39744005,1.6228803,0.8256207,0.5993911,0.2560045
GSM6360688_ADC_6,2,67,0.08032534,0.6376081,0.17227253,0.21314143,0.15775259,0.101188414,0.12541364,0.22487265,1.1186925,0.51858664,0.4049403,0.12811822
GSM6360688_ADC_6,5,564,0.122773096,0.85860354,0.29912773,0.29654256,0.18843059,0.19401525,0.22642301,0.31214744,1.2314682,0.7156705,0.57886565,0.20295627
GSM6360688_ADC_6,6,100,0.11593565,0.96436477,0.29629564,0.24415635,0.23061012,0.25171104,0.22666161,0.2919698,0.92861,0.6641867,0.6303302,0.23632759
GSM6360688_ADC_6,7,213,0.15272692,0.7651598,0.3078704,0.3638424,0.1710173,0.16551705,0.21856494,0.34862766,1.34134,0.7524418,0.5365151,0.1850331
GSM6360688_ADC_6,8,179,0.0840138,0.07454288,0.10190629,0.16096056,0.08135728,0.121453,0.053386528,0.015078473,0.40777555,0.27560082,0.08822459,0.08539894
GSM6360688_ADC_6,10,606,0.08838347,0.7335473,0.28759107,0.2365827,0.12623973,0.13458459,0.14950775,0.25475875,1.2070181,0.59852976,0.51056916,0.13677736
GSM6360688_ADC_6,11,134,0.15431042,0.71455246,0.18294461,0.3845118,0.25004748,0.37412688,0.41839442,0.45629415,1.7513877,0.9833309,0.44874853,0.34752294
GSM6360688_ADC_6,12,271,0.045415644,0.25144872,0.07998678,0.1109598,0.2857492,0.19664596,0.27227432,0.11455423,0.23372369,0.20002727,0.16571775,0.2515565
GSM6360688_ADC_6,13,97,0.15002003,0.8524687,0.26096815,0.2936127,0.123741426,0.13104692,0.20156318,0.28119618,0.8856651,0.74608934,0.55671847,0.15211718
