"sample","log2CNA","gistic"
"TCGA-C5-A7CJ-01",-0.029,0
"TCGA-C5-A7CK-01",-0.036,0
"TCGA-C5-A7CL-01",-0.067,0
"TCGA-C5-A7CM-01",-0.05,0
"TCGA-C5-A7CO-01",-0.15,-1
"TCGA-C5-A7UC-01",-0.014,0
"TCGA-C5-A7UE-01",-0.019,0
"TCGA-C5-A7UH-01",0.002,0
"TCGA-C5-A7UI-01",-0.069,0
"TCGA-C5-A7X3-01",-0.31,-1
"TCGA-C5-A7X5-01",-0.679,-1
"TCGA-C5-A7X8-01",-0.104,-1
"TCGA-C5-A7XC-01",-0.67,-1
"TCGA-C5-A8XH-01",-0.401,-1
"TCGA-C5-A8XI-01",0.041,0
"TCGA-C5-A8XJ-01",-0.071,0
"TCGA-C5-A8XK-01",-0.8,-1
"TCGA-C5-A8YQ-01",-0.411,-1
"TCGA-C5-A8YR-01",-0.541,-1
"TCGA-C5-A8YT-01",-0.002,0
"TCGA-C5-A8ZZ-01",-0.075,0
"TCGA-C5-A907-01",-0.625,-1
"TCGA-DG-A2KH-01",-0.017,0
"TCGA-DG-A2KJ-01",0.198,1
"TCGA-DG-A2KK-01",-0.016,0
"TCGA-DG-A2KL-01",0.389,1
"TCGA-DG-A2KM-01",-0.031,0
"TCGA-DR-A0ZL-01",-0.077,0
"TCGA-DR-A0ZM-01",-0.004,0
"TCGA-DS-A0VK-01",-0.054,0
"TCGA-DS-A0VL-01",0.144,1
"TCGA-DS-A0VM-01",-0.752,-1
"TCGA-DS-A0VN-01",-0.284,-1
"TCGA-DS-A3LQ-01",0.271,1
"TCGA-DS-A5RQ-01",-0.828,-1
"TCGA-DS-A7WF-01",-0.002,0
"TCGA-DS-A7WH-01",-0.699,-1
"TCGA-DS-A7WI-01",-0.887,-2
"TCGA-EA-A1QS-01",0.049,0
"TCGA-EA-A1QT-01",-0.141,-1
"TCGA-EA-A3HQ-01",-0.038,0
"TCGA-EA-A3HR-01",-0.037,0
"TCGA-EA-A3HS-01",-0.077,0
"TCGA-EA-A3HT-01",-0.021,0
"TCGA-EA-A3QD-01",-0.028,0
"TCGA-EA-A3QE-01",-0.059,0
"TCGA-EA-A3Y4-01",-0.517,-1
"TCGA-EA-A410-01",-0.028,0
"TCGA-EA-A411-01",-0.354,-1
"TCGA-EA-A439-01",-0.281,-1
"TCGA-EA-A43B-01",-0.214,-1
"TCGA-EA-A44S-01",-0.091,0
"TCGA-EA-A4BA-01",0.032,0
"TCGA-EA-A50E-01",-0.042,0
"TCGA-EA-A556-01",-0.702,-1
"TCGA-EA-A5FO-01",-0.019,0
"TCGA-EA-A5O9-01",-0.102,-2
"TCGA-EA-A5ZD-01",0.002,0
"TCGA-EA-A5ZE-01",-0.027,0
"TCGA-EA-A5ZF-01",-0.454,-2
"TCGA-EA-A6QX-01",-0.746,-1
"TCGA-EA-A78R-01",-0.025,0
"TCGA-EA-A97N-01",-0.214,-1
"TCGA-EK-A2GZ-01",0.011,0
"TCGA-EK-A2H0-01",-0.039,0
"TCGA-EK-A2H1-01",-0.064,0
"TCGA-EK-A2IP-01",-0.165,-1
"TCGA-EK-A2PG-01",0.033,0
"TCGA-EK-A2PI-01",-0.705,-1
"TCGA-EK-A2PK-01",-0.372,-1
"TCGA-EK-A2PL-01",-0.653,-1
"TCGA-EK-A2PM-01",0.257,1
"TCGA-EK-A2R7-01",-0.248,-1
"TCGA-EK-A2R8-01",-0.285,-1
"TCGA-EK-A2R9-01",-0.04,0
"TCGA-EK-A2RA-01",-0.386,-1
"TCGA-EK-A2RB-01",-0.073,0
"TCGA-EK-A2RC-01",-0.054,0
"TCGA-EK-A2RD-01",-0.092,0
"TCGA-EK-A2RE-01",-0.031,0
"TCGA-EK-A2RJ-01",-0.141,-1
"TCGA-EK-A2RK-01",-0.021,0
"TCGA-EK-A2RL-01",-0.041,0
"TCGA-EK-A2RM-01",-0.598,-1
"TCGA-EK-A2RN-01",-0.519,-1
"TCGA-EK-A2RO-01",-0.022,0
"TCGA-EK-A3GJ-01",-0.362,-1
"TCGA-EK-A3GK-01",-0.063,0
"TCGA-EK-A3GM-01",-0.117,-1
"TCGA-EK-A3GN-01",-0.66,-1
"TCGA-EX-A1H5-01",-0.092,0
"TCGA-EX-A1H6-01",-0.031,0
"TCGA-EX-A3L1-01",0.04,0
"TCGA-EX-A69L-01",-0.473,-1
"TCGA-EX-A69M-01",-0.016,0
"TCGA-EX-A8YF-01",0.051,0
"TCGA-FU-A23K-01",-0.007,0
"TCGA-FU-A23L-01",-0.363,-1
"TCGA-FU-A2QG-01",-0.045,0
"TCGA-FU-A3EO-01",0.007,0
"TCGA-FU-A3HY-01",-0.094,0
"TCGA-FU-A3HZ-01",-0.013,0
"TCGA-FU-A3NI-01",-0.08,0
"TCGA-FU-A3TQ-01",-0.042,0
"TCGA-FU-A3TX-01",-0.011,0
"TCGA-FU-A3WB-01",-0.035,0
"TCGA-FU-A3YQ-01",-0.026,0
"TCGA-FU-A40J-01",0.236,1
"TCGA-FU-A57G-01",-0.012,0
"TCGA-FU-A5XV-01",-0.115,-1
"TCGA-FU-A770-01",-0.005,0
"TCGA-GH-A9DA-01",-0.106,-1
"TCGA-HG-A2PA-01",-0.046,0
"TCGA-HG-A9SC-01",-0.637,-1
"TCGA-HM-A3JJ-01",0,0
"TCGA-HM-A3JK-01",0.251,1
"TCGA-HM-A4S6-01",-0.493,-1
"TCGA-HM-A6W2-01",0.023,0
"TCGA-IR-A3L7-01",-0.069,0
"TCGA-IR-A3LA-01",-0.014,0
"TCGA-IR-A3LB-01",0.021,0
"TCGA-IR-A3LC-01",0.424,1
"TCGA-IR-A3LF-01",0.039,0
"TCGA-IR-A3LH-01",0.032,0
"TCGA-IR-A3LI-01",-0.025,0
"TCGA-IR-A3LK-01",-0.765,-1
"TCGA-IR-A3LL-01",0.393,1
"TCGA-JW-A5VG-01",-0.028,0
"TCGA-JW-A5VH-01",-0.029,0
"TCGA-JW-A5VI-01",-0.686,-1
"TCGA-JW-A5VJ-01",-0.045,0
"TCGA-JW-A5VK-01",-0.208,-1
"TCGA-JW-A5VL-01",0.051,0
"TCGA-JW-A69B-01",-0.792,-1
"TCGA-JW-A852-01",0.701,1
"TCGA-JW-AAVH-01",-0.058,0
"TCGA-JX-A3PZ-01",-0.691,-1
"TCGA-JX-A3Q0-01",0.398,1
"TCGA-JX-A3Q8-01",0.055,0
"TCGA-JX-A5QV-01",-0.637,-1
"TCGA-LP-A4AU-01",0.145,1
"TCGA-LP-A4AV-01",-0.095,0
"TCGA-LP-A4AW-01",-0.025,0
"TCGA-LP-A4AX-01",-0.475,-1
"TCGA-LP-A5U2-01",0.608,1
"TCGA-LP-A5U3-01",-0.036,0
"TCGA-LP-A7HU-01",0.346,1
"TCGA-MA-AA3W-01",-0.071,0
"TCGA-MA-AA3X-01",0.022,0
"TCGA-MA-AA3Y-01",0.005,0
"TCGA-MA-AA3Z-01",-0.011,0
"TCGA-MA-AA41-01",-0.053,0
"TCGA-MA-AA42-01",-0.015,0
"TCGA-MA-AA43-01",0.073,0
"TCGA-MU-A51Y-01",-0.044,0
"TCGA-MU-A5YI-01",-0.032,0
"TCGA-MU-A8JM-01",0.017,0
"TCGA-MY-A5BD-01",0.071,0
"TCGA-MY-A5BE-01",0.217,1
"TCGA-MY-A5BF-01",-0.02,0
"TCGA-MY-A913-01",-0.706,-2
"TCGA-PN-A8MA-01",-0.5,-1
"TCGA-Q1-A5R1-01",-0.007,0
"TCGA-Q1-A5R2-01",0.039,0
"TCGA-Q1-A5R3-01",-0.103,-1
"TCGA-Q1-A6DT-01",-0.005,0
"TCGA-Q1-A6DV-01",-0.009,0
"TCGA-Q1-A6DW-01",-0.014,0
"TCGA-Q1-A73O-01",-0.003,0
"TCGA-Q1-A73P-01",-0.059,0
"TCGA-Q1-A73Q-01",-0.069,0
"TCGA-Q1-A73R-01",-0.025,0
"TCGA-Q1-A73S-01",-0.853,-1
"TCGA-R2-A69V-01",0.067,0
"TCGA-RA-A741-01",-0.527,-1
"TCGA-UC-A7PD-01",-0.02,0
"TCGA-UC-A7PF-01",0.579,1
"TCGA-UC-A7PG-01",-0.337,-1
"TCGA-UC-A7PI-01",-0.039,0
"TCGA-VS-A8EB-01",-0.883,-1
"TCGA-VS-A8EC-01",0.045,0
"TCGA-VS-A8EG-01",-0.065,0
"TCGA-VS-A8EH-01",-0.095,0
"TCGA-VS-A8EI-01",-0.3,-1
"TCGA-VS-A8EJ-01",-0.103,-1
"TCGA-VS-A8EL-01",-0.011,0
"TCGA-VS-A8Q8-01",-0.775,-1
"TCGA-VS-A8Q9-01",-0.697,-1
"TCGA-VS-A8QA-01",-0.098,0
"TCGA-VS-A8QC-01",-0.05,0
"TCGA-VS-A8QF-01",-0.181,-1
"TCGA-VS-A8QH-01",-0.098,0
"TCGA-VS-A8QM-01",0.032,0
"TCGA-VS-A94W-01",-0.082,0
"TCGA-VS-A94X-01",-0.674,-1
"TCGA-VS-A94Y-01",-0.68,-1
"TCGA-VS-A94Z-01",-0.018,0
"TCGA-VS-A950-01",-0.594,-1
"TCGA-VS-A952-01",0.009,0
"TCGA-VS-A953-01",0.412,1
"TCGA-VS-A954-01",0.657,1
"TCGA-VS-A957-01",-0.163,-1
"TCGA-VS-A958-01",-0.026,0
"TCGA-VS-A959-01",-0.275,-1
"TCGA-VS-A9U5-01",0.102,1
"TCGA-VS-A9U6-01",-0.616,-1
"TCGA-VS-A9U7-01",0.031,0
"TCGA-VS-A9UA-01",-0.073,0
"TCGA-VS-A9UB-01",0.003,0
"TCGA-VS-A9UC-01",-0.03,0
"TCGA-VS-A9UD-01",-0.255,-1
"TCGA-VS-A9UH-01",-0.091,0
"TCGA-VS-A9UI-01",-0.256,-1
"TCGA-VS-A9UJ-01",-0.011,0
"TCGA-VS-A9UL-01",-0.372,-1
"TCGA-VS-A9UM-01",-0.112,-1
"TCGA-VS-A9UO-01",-0.063,0
"TCGA-VS-A9UP-01",-0.58,-2
"TCGA-VS-A9UQ-01",-0.022,0
"TCGA-VS-A9UR-01",0.035,0
"TCGA-VS-A9UT-01",-0.477,-1
"TCGA-VS-A9UU-01",0.115,1
"TCGA-VS-A9UV-01",0.002,0
"TCGA-VS-A9UY-01",-0.009,0
"TCGA-VS-A9UZ-01",-0.002,0
"TCGA-VS-A9V0-01",-0.61,-1
"TCGA-VS-A9V1-01",-0.66,-1
"TCGA-VS-A9V2-01",0.399,1
"TCGA-VS-A9V3-01",-0.665,-1
"TCGA-VS-A9V4-01",-0.259,-1
"TCGA-VS-A9V5-01",-0.682,-1
"TCGA-VS-AA62-01",0.003,0
"TCGA-WL-A834-01",0.698,1
"TCGA-XS-A8TJ-01",-0.029,0
"TCGA-ZJ-A8QO-01",0.023,0
"TCGA-ZJ-A8QR-01",-0.779,-1
"TCGA-ZJ-AAX4-01",-0.357,-1
"TCGA-ZJ-AAX8-01",-0.021,0
"TCGA-ZJ-AAXA-01",0.305,1
"TCGA-ZJ-AAXB-01",-0.185,-1
"TCGA-ZJ-AAXD-01",0.268,1
"TCGA-ZJ-AAXF-01",0.102,1
"TCGA-ZJ-AAXI-01",-0.003,0
"TCGA-ZJ-AAXJ-01",0.501,1
"TCGA-ZJ-AAXN-01",-0.805,-2
"TCGA-ZJ-AAXT-01",-0.128,-1
"TCGA-ZJ-AAXU-01",-0.026,0
"TCGA-ZJ-AB0H-01",-0.077,0
"TCGA-ZJ-AB0I-01",-0.886,-1
"TCGA-ZX-AA5X-01",-0.029,0
