gene,rho_pb,p_pb,pct_rank_pb,rho_pb_sample_centered,p_pb_sample_centered,detect_frac_epi,bulk_rho_TCGA,on_19p13_3
OBSL1,0.4313574702390107,0.0007232336260268104,0.7537128712871287,0.2880125503706666,0.028352427429692587,0.16156754898590686,0.1080738976911989,False
CAPS,0.43129594881417455,0.0007246441002975841,0.7535714285714286,0.5540927127872282,6.411756291744705e-06,0.3880076609536529,0.0917714502935437,True
UBR3,0.43129594881417455,0.0007246441002975841,0.7535714285714286,0.39007659417392104,0.002470241534784212,0.26454844571036773,-0.226370647755834,False
ATXN7L1,0.4312344273893383,0.0007260570595730357,0.7534653465346535,0.362884124396321,0.005116536207988412,0.1314148209988663,-0.1707214221374324,False
ARMH3,0.43117290596450214,0.0007274725077134979,0.7533592644978784,0.4591651542649728,0.0002884440312062635,0.1349506457791056,-0.0718914649795823,False
COG3,0.43117290596450214,0.0007274725077134979,0.7533592644978784,0.257867052200929,0.05066618044645762,0.2067966409664677,-0.2463006883785503,False
FRK,0.43111138453966596,0.0007288904485843812,0.7532531824611033,0.40662585745485863,0.0015379104662815465,0.2450523007415566,-0.266907420109248,False
CRYM,0.43110908001840137,0.0007289436114931771,0.7531824611032532,0.2985396613560214,0.022828177054240974,0.08476157737072047,-0.0426453522347216,False
BMPR1B,0.4310666491703542,0.0007299230733112829,0.7531117397454031,0.3476013965989381,0.007505191233325153,0.17030889358149842,0.0853426486577739,False
ANO6,0.43092682026515733,0.000733159266309718,0.753041018387553,0.29957857823987205,0.022336070465135412,0.3039336050680108,-0.2480819018184008,False
GRK3,0.43087192585498457,0.0007344332790659286,0.752970297029703,0.3802946876249654,0.00323268302408559,0.0947306389038923,-0.0122477312785471,False
CCDC169,0.4308211840491162,0.0007356126949085072,0.752899575671853,0.34109484136253687,0.008786707972842669,0.010116387565682835,0.0769961620328122,False
USP21,0.4306807345658125,0.0007388861568929344,0.7527934936350777,0.50647512996401,4.981733525941667e-05,0.07371212493247584,-0.0775099372773926,False
SFT2D2,0.4306807345658125,0.0007388861568929344,0.7527934936350777,0.36128456735057984,0.005330446091802763,0.5025782055688416,-0.0605128544157873,False
GLIPR1L2,0.43062587514635,0.0007401683374454321,0.7526874115983027,0.3380321222931575,0.009453070557445735,0.012031625988312108,-0.0297567005051573,False
DMBT1,0.43061039459803024,0.0007405305140025462,0.7526166902404526,0.3472282055026419,0.007574019682174415,0.1004272454942762,-0.0572309261530723,False
CDKAL1,0.4305643139995873,0.000741609544505541,0.7525459688826025,0.3705127810760097,0.004196815198491763,0.15857191965820414,0.081444945653393,False
PPDPF,0.43049617029130394,0.0007432078114891919,0.7524752475247525,0.3806638161739826,0.003200502791481168,0.8785542405340728,0.2175391912998207,False
TCEA1,0.43043464886646776,0.0007446534289659898,0.7523691654879774,0.3874926943308007,0.002654243263927506,0.7272012964689157,0.0271599633085142,False
CWC27,0.43043464886646776,0.0007446534289659898,0.7523691654879774,0.45005998338921527,0.0003931279182891848,0.31385355792367653,0.1766477818060757,False
BHLHE41,0.4302500845919591,0.0007490055342032764,0.7522630834512023,0.3941370082131102,0.0022039715892440614,0.33914452683787377,-0.1234866828087166,False
STC2,0.43023963154032946,0.0007492527077370807,0.7521923620933522,0.2599452402534038,0.048768645216773154,0.04699700437067328,0.2091360382875889,False
SLC6A6,0.43018856316712295,0.0007504613333409988,0.7521216407355021,0.3793718662524224,0.0033143915823515857,0.19235868978049062,-0.044406378274107,False
CHAD,0.4300089788291593,0.0007547255196058634,0.752050919377652,0.10946508681845492,0.4133710328282853,0.04326474488042123,-0.1860067078835929,False
MRPL30,0.42988095604294196,0.0007577787372091802,0.751909476661952,0.3267095265926359,0.012311587255974813,0.250306929234412,0.1707266165562656,False
